ID_SOAL;SOAL;JAWABAN_SISWA;GRADE-01;GRADE-02;GRADE-03
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;sistem bilangan biner digunakan pada ilmu komputer karena komputer hanya mengenali dua kondisi atau keadaan yakni 1 dan 0, sehingga semua data diinstruksikan dalam bentuk biner;75;64;80
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Sistem biner merupakan sifat dasar dari tegangan listrik, yakni tegangan tinggi (HIGH) dan tegangan rendah (LOW). Karena listrik bisa bersifat biner, kita dapat memanipulasinya sedemikian hingga kita bisa mengoperasikan rangkaian yang memiliki logika. Rangkaian logika adalah sistem digital. Sistem digital sendiri merupakan hal fundamental dari ilmu komputer. ;70;66,5;67,75
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Biner merupakan bahasa yang dipahami oleh komputer, yaitu dengan input sistem digital, pada saat bernilai 1 maka akan dibaca high jika 0 maka low;60;51,5;58
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Sistem bilangan biner merupakan dasar dalam ilmu komputer karena komputer hanya mengenali dua keadaan, yaitu on (1) dan off (0). Semua data dan instruksi dikodekan dalam bentuk biner, termasuk teks, gambar, dan suara. Operasi logika digital, arsitektur prosesor, dan penyimpanan data juga berbasis sistem biner untuk efisiensi dan keandalan.;80;78,75;84,25
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;digunakan untuk merepresentasikan data dan instruksi karena kesederhanaannya yang cocok dengan sirkuit elektronik komputer yang hanya memiliki dua keadaan (hidup/mati);70;53;68,5
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Komputer tidak menghitung seperti manusia menggunakan basis 10. Komputer menggunakan logic state HIGH atau LOW yang kemudian dinotasikan menjadi sistem biner (0 dan 1);65;60;67,25
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Konsep dasar sistem bilangan biner digunakan dalam ilmu komputer sebagai representasi data dan instruksi menggunakan dua simbol (0 dan 1). Semua operasi komputasi, termasuk penyimpanan, pemrosesan, dan transmisi data, dilakukan dengan kombinasi bit biner. Ini karena perangkat keras komputer bekerja dengan sinyal listrik yang memiliki dua keadaan (on/off).;85;90;81
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Sistem bilangan biner (0 dan 1) dipakai karena komputer hanya mengenali dua kondisi, sehingga memudahkan representasi dan pemrosesan data secara digital.;70;75;73
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Merepresentasikan data dan instruksi dengan 0 dan 1, sesuai dengan operasi logika dan elektronik digital.;70;70;76
1;Bagaimana konsep dasar sistem bilangan biner digunakan dalam ilmu komputer?;Sistem bilangan biner digunakan dalam pengolahan data oleh komputer. Jadi komputer mengolah data dalam bentuk bilangan biner. ;70;56;75,5
